LABEL-1,LABEL-2,LABEL-3,LABEL-4,LABEL-5
Wild yak,Bos mutus,bmutus,BosGru_v2.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Sloth,Choloepus hoffmanni,choffmanni,choHof1,"GO:MF, GO:CC, GO:BP, HP"
Zebrafish,Danio rerio,drerio,GRCz11,"GO:MF, GO:CC, GO:BP, KEGG, REAC, TF, MIRNA, HP"
Collared flycatcher,Ficedula albicollis,falbicollis,FicAlb1.5,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Dingo,Canis lupus dingo,cldingo,ASM325472v1,"GO:MF, GO:CC, GO:BP, HP"
African ostrich,Struthio camelus australis,scaustralis,ASM69896v1,"GO:MF, GO:CC, GO:BP, HP"
Marmoset,Callithrix jacchus,cjacchus,ASM275486v1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Ryukyu mouse,Mus caroli,mcaroli,CAROLI_EIJ_v1.1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Lesser Egyptian jerboa,Jaculus jaculus,jjaculus,JacJac1.0,"GO:MF, GO:CC, GO:BP, HP"
Sailfin molly,Poecilia latipinna,platipinna,P_latipinna-1.0,"GO:MF, GO:CC, GO:BP, HP"
Sheep,Ovis aries,oarambouillet,Oar_rambouillet_v1.0,"GO:MF, GO:CC, GO:BP, HP"
Mexican tetra,Astyanax mexicanus,amexicanus,Astyanax_mexicanus-2.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Rabbit,Oryctolagus cuniculus,ocuniculus,OryCun2.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Rainbow trout,Oncorhynchus mykiss,omykiss,Omyk_1.0,"GO:MF, GO:CC, GO:BP, HP"
Siberian musk deer,Moschus moschiferus,mmoschiferus,MosMos_v2_BIUU_UCD,"GO:MF, GO:CC, GO:BP, HP"
Dog,Canis lupus familiaris,clfamiliaris,CanFam3.1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Midas cichlid,Amphilophus citrinellus,acitrinellus,Midas_v5,"GO:MF, GO:CC, GO:BP, HP"
Turquoise killifish,Nothobranchius furzeri,nfurzeri,Nfu_20140520,"GO:MF, GO:CC, GO:BP, HP"
Squirrel,Ictidomys tridecemlineatus,itridecemlineatus,SpeTri2.0,"GO:MF, GO:CC, GO:BP, HP"
Asian bonytongue,Scleropages formosus,sformosus,fSclFor1.1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Human,Homo sapiens,hsapiens,GRCh38.p13,"GO:MF, GO:CC, GO:BP, KEGG, REAC, TF, MIRNA, HPA, CORUM, HP, WP"
Atlantic salmon,Salmo salar,ssalar,ICSASG_v2,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Macaque,Macaca mulatta,mmulatta,Mmul_10,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Ballan wrasse,Labrus bergylta,lbergylta,BallGen_V1,"GO:MF, GO:CC, GO:BP, HP"
Greater horseshoe bat,Rhinolophus ferrumequinum,rferrumequinum,mRhiFer1_v1.p,"GO:MF, GO:CC, GO:BP, HP"
Mouse Lemur,Microcebus murinus,mmurinus,Mmur_3.0,"GO:MF, GO:CC, GO:BP, HP"
Dolphin,Tursiops truncatus,ttruncatus,turTru1,"GO:MF, GO:CC, GO:BP, HP"
Green anole,Anolis carolinensis,acarolinensis,AnoCar2.0v2,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Bolivian squirrel monkey,Saimiri boliviensis boliviensis,sbboliviensis,SaiBol1.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
C.savignyi,Ciona savignyi,csavignyi,CSAV 2.0,"GO:MF, GO:CC, GO:BP, HP"
Red fox,Vulpes vulpes,vvulpes,VulVul2.2,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Orange clownfish,Amphiprion percula,apercula,Nemo_v1,"GO:MF, GO:CC, GO:BP, HP"
Climbing perch,Anabas testudineus,atestudineus,fAnaTes1.2,"GO:MF, GO:CC, GO:BP, HP"
Tarsier,Carlito syrichta,csyrichta,Tarsius_syrichta-2.0.1,"GO:MF, GO:CC, GO:BP, HP"
Eurasian red squirrel,Sciurus vulgaris,svulgaris,mSciVul1.1,"GO:MF, GO:CC, GO:BP, HP"
Coquerel's sifaka,Propithecus coquereli,pcoquereli,Pcoq_1.0,"GO:MF, GO:CC, GO:BP, HP"
Goat,Capra hircus,chircus,ARS1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Arabian camel,Camelus dromedarius,cdromedarius,CamDro2,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Lyretail cichlid,Neolamprologus brichardi,nbrichardi,NeoBri1.0,"GO:MF, GO:CC, GO:BP, HP"
Upper Galilee mountains blind mole rat,Nannospalax galili,ngalili,S.galili_v1.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Tongue sole,Cynoglossus semilaevis,csemilaevis,Cse_v1.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Shrew mouse,Mus pahari,mpahari,PAHARI_EIJ_v1.1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Tuatara,Sphenodon punctatus,spunctatus,ASM311381v1,"GO:MF, GO:CC, GO:BP, HP"
Pig,Sus scrofa,sscrofa,Sscrofa11.1,"GO:MF, GO:CC, GO:BP, KEGG, REAC, MIRNA, HP, WP"
Yellowtail amberjack,Seriola lalandi dorsalis,sldorsalis,Sedor1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Burton's mouthbrooder,Haplochromis burtoni,hburtoni,AstBur1.0,"GO:MF, GO:CC, GO:BP, HP"
Great Tit,Parus major,pmajor,Parus_major1.1,"GO:MF, GO:CC, GO:BP, HP"
Common wombat,Vombatus ursinus,vursinus,bare-nosed_wombat_genome_assembly,"GO:MF, GO:CC, GO:BP, HP"
Chinese medaka,Oryzias sinensis,osinensis,ASM858656v1,"GO:MF, GO:CC, GO:BP, HP"
Siamese fighting fish,Betta splendens,bsplendens,fBetSpl5.2,"GO:MF, GO:CC, GO:BP, HP"
Eastern happy,Astatotilapia calliptera,acalliptera,fAstCal1.2,"GO:MF, GO:CC, GO:BP, HP"
Northern pike,Esox lucius,elucius,Eluc_v4,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Japanese medaka HdrR,Oryzias latipes,olatipes,ASM223467v1,"GO:MF, GO:CC, GO:BP, KEGG, MIRNA, HP"
Kangaroo rat,Dipodomys ordii,dordii,Dord_2.0,"GO:MF, GO:CC, GO:BP, HP"
Common wall lizard,Podarcis muralis,pmuralis,PodMur_1.0,"GO:MF, GO:CC, GO:BP, HP"
Duck,Anas platyrhynchos platyrhynchos,applatyrhynchos,CAU_duck1.0,"GO:MF, GO:CC, GO:BP, HP"
Lumpfish,Cyclopterus lumpus,clumpus,fCycLum1.pri,"GO:MF, GO:CC, GO:BP, HP"
Wallaby,Notamacropus eugenii,neugenii,Meug_1.0,"GO:MF, GO:CC, GO:BP, HP"
Chinese hamster CHOK1GS,Cricetulus griseus,cgchok1gshd,CHOK1GS_HDv1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Pink-footed goose,Anser brachyrhynchus,abrachyrhynchus,ASM259213v1,"GO:MF, GO:CC, GO:BP, HP"
Tropical clawed frog,Xenopus tropicalis,xtropicalis,Xenopus_tropicalis_v9.1,"GO:MF, GO:CC, GO:BP, KEGG, REAC, MIRNA, HP"
Tiger tail seahorse,Hippocampus comes,hcomes,H_comes_QL1_v1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Chicken,Gallus gallus,ggallus,GRCg6a,"GO:MF, GO:CC, GO:BP, KEGG, REAC, TF, MIRNA, HP, WP"
Goodes thornscrub tortoise,Gopherus evgoodei,gevgoodei,rGopEvg1_v1.p,"GO:MF, GO:CC, GO:BP, HP"
Coelacanth,Latimeria chalumnae,lchalumnae,LatCha1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Indian cobra,Naja naja,nnaja,Nana_v5,"GO:MF, GO:CC, GO:BP, HP"
Capuchin,Cebus imitator,ccapucinus,Cebus_imitator-1.0,"GO:MF, GO:CC, GO:BP"
Gilthead seabream,Sparus aurata,saurata,fSpaAur1.1,"GO:MF, GO:CC, GO:BP, HP"
Blue whale,Balaenoptera musculus,bmusculus,mBalMus1.v2,"GO:MF, GO:CC, GO:BP, HP"
Tree Shrew,Tupaia belangeri,tbelangeri,tupBel1,"GO:MF, GO:CC, GO:BP, HP"
Hyrax,Procavia capensis,pcapensis,proCap1,"GO:MF, GO:CC, GO:BP, HP"
Black snub-nosed monkey,Rhinopithecus bieti,rbieti,ASM169854v1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Golden eagle,Aquila chrysaetos chrysaetos,acchrysaetos,bAquChr1.2,"GO:MF, GO:CC, GO:BP, HP"
Reedfish,Erpetoichthys calabaricus,ecalabaricus,fErpCal1.1,"GO:MF, GO:CC, GO:BP, HP"
Vaquita,Phocoena sinus,psinus,mPhoSin1.pri,"GO:MF, GO:CC, GO:BP, HP"
Naked mole-rat female,Heterocephalus glaber,hgfemale,HetGla_female_1.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Lamprey,Petromyzon marinus,pmarinus,Pmarinus_7.0,"GO:MF, GO:CC, GO:BP, HP"
American bison,Bison bison bison,bbbison,Bison_UMD1.0,"GO:MF, GO:CC, GO:BP, HP"
Barramundi perch,Lates calcarifer,lcalcarifer,ASB_HGAPassembly_v1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Sooty mangabey,Cercocebus atys,catys,Caty_1.0,"GO:MF, GO:CC, GO:BP, HP"
Leishan spiny toad,Leptobrachium leishanense,lleishanense,ASM966780v1,"GO:MF, GO:CC, GO:BP, HP"
Gorilla,Gorilla gorilla gorilla,ggorilla,gorGor4,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Zebra mbuna,Maylandia zebra,mzebra,M_zebra_UMD2a,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Zebra finch,Taeniopygia guttata,tguttata,bTaeGut1_v1.p,"GO:MF, GO:CC, GO:BP, KEGG, MIRNA, HP"
Painted turtle,Chrysemys picta bellii,cpbellii,Chrysemys_picta_bellii-3.0.3,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Hedgehog,Erinaceus europaeus,eeuropaeus,eriEur1,"GO:MF, GO:CC, GO:BP, HP"
Australian saltwater crocodile,Crocodylus porosus,cporosus,CroPor_comp1,"GO:MF, GO:CC, GO:BP, HP"
Three-toed box turtle,Terrapene carolina triunguis,tctriunguis,T_m_triunguis-2.0,"GO:MF, GO:CC, GO:BP, HP"
Pika,Ochotona princeps,oprinceps,OchPri2.0-Ens,"GO:MF, GO:CC, GO:BP, HP"
Orangutan,Pongo abelii,pabelii,PPYG2,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Gibbon,Nomascus leucogenys,nleucogenys,Nleu_3.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Javanese ricefish,Oryzias javanicus,ojavanicus,OJAV_1.1,"GO:MF, GO:CC, GO:BP, HP"
Huchen,Hucho hucho,hhucho,ASM331708v1,"GO:MF, GO:CC, GO:BP, HP"
Arctic ground squirrel,Urocitellus parryii,uparryii,ASM342692v1,"GO:MF, GO:CC, GO:BP, HP"
Ma's night monkey,Aotus nancymaae,anancymaae,Anan_2.0,"GO:MF, GO:CC, GO:BP, HP"
American black bear,Ursus americanus,uamericanus,ASM334442v1,"GO:MF, GO:CC, GO:BP, HP"
Prairie vole,Microtus ochrogaster,mochrogaster,MicOch1.0,"GO:MF, GO:CC, GO:BP, HP"
Lesser hedgehog tenrec,Echinops telfairi,etelfairi,TENREC,"GO:MF, GO:CC, GO:BP, HP"
Hybrid - Bos Indicus,Bos indicus x Bos taurus,bihybrid,UOA_Brahman_1,"GO:MF, GO:CC, GO:BP, HP"
Alpine marmot,Marmota marmota marmota,mmmarmota,marMar2.1,"GO:MF, GO:CC, GO:BP, HP"
Elephant shark,Callorhinchus milii,cmilii,Callorhinchus_milii-6.1.3,"GO:MF, GO:CC, GO:BP, HP"
Narwhal,Monodon monoceros,mmonoceros,NGI_Narwhal_1,"GO:MF, GO:CC, GO:BP, HP"
Sheepshead minnow,Cyprinodon variegatus,cvariegatus,C_variegatus-1.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Guinea Pig,Cavia porcellus,cporcellus,Cavpor3.0,"GO:MF, GO:CC, GO:BP, HP"
Indian medaka,Oryzias melastigma,omelastigma,Om_v0.7.RACA,"GO:MF, GO:CC, GO:BP, HP"
Common canary,Serinus canaria,scanaria,SCA1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Leopard,Panthera pardus,ppardus,PanPar1.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Beluga whale,Delphinapterus leucas,dleucas,ASM228892v3,"GO:MF, GO:CC, GO:BP, HP"
Caenorhabditis elegans,Caenorhabditis elegans,celegans,WBcel235,"GO:MF, GO:CC, GO:BP, KEGG, TF, MIRNA, HP, WP"
Golden-line barbel,Sinocyclocheilus grahami,sgrahami,SAMN03320097.WGS_v1.1,"GO:MF, GO:CC, GO:BP, HP"
American mink,Neovison vison,nvison,NNQGG.v01,"GO:MF, GO:CC, GO:BP, HP"
Shrew,Sorex araneus,saraneus,sorAra1,"GO:MF, GO:CC, GO:BP, HP"
Turbot,Scophthalmus maximus,smaximus,ASM1334776v1,"GO:MF, GO:CC, GO:BP, HP"
Brown trout,Salmo trutta,strutta,fSalTru1.1,"GO:MF, GO:CC, GO:BP, HP"
Chinese softshell turtle,Pelodiscus sinensis,psinensis,PelSin_1.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Hagfish,Eptatretus burgeri,eburgeri,Eburgeri_3.2,"GO:MF, GO:CC, GO:BP, HP"
Tiger,Panthera tigris altaica,ptaltaica,PanTig1.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Chacoan peccary,Catagonus wagneri,cwagneri,CatWag_v2_BIUU_UCD,"GO:MF, GO:CC, GO:BP, HP"
Giant panda,Ailuropoda melanoleuca,amelanoleuca,ASM200744v2,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Greater amberjack,Seriola dumerili,sdumerili,Sdu_1.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Mallard,Anas platyrhynchos,aplatyrhynchos,ASM874695v1,"GO:MF, GO:CC, GO:BP, KEGG"
Sperm whale,Physeter catodon,pcatodon,ASM283717v2,"GO:MF, GO:CC, GO:BP, HP"
Atlantic herring,Clupea harengus,charengus,Ch_v2.0.2,"GO:MF, GO:CC, GO:BP, HP"
Eastern brown snake,Pseudonaja textilis,ptextilis,EBS10Xv2-PRI,"GO:MF, GO:CC, GO:BP, HP"
Donkey,Equus asinus asinus,eaasinus,ASM303372v1,"GO:MF, GO:CC, GO:BP, HP"
Goldfish,Carassius auratus,cauratus,ASM336829v1,"GO:MF, GO:CC, GO:BP, HP"
Channel catfish,Ictalurus punctatus,ipunctatus,IpCoco_1.2,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Large yellow croaker,Larimichthys crocea,lcrocea,L_crocea_2.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Paramormyrops kingsleyae,Paramormyrops kingsleyae,pkingsleyae,PKINGS_0.1,"GO:MF, GO:CC, GO:BP, HP"
Bonobo,Pan paniscus,ppaniscus,panpan1.1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Alpaca,Vicugna pacos,vpacos,vicPac1,"GO:MF, GO:CC, GO:BP, HP"
Yarkand deer,Cervus hanglu yarkandensis,chyarkandensis,CEY_v1,"GO:MF, GO:CC, GO:BP, HP"
Chinook salmon,Oncorhynchus tshawytscha,otshawytscha,Otsh_v1.0,"GO:MF, GO:CC, GO:BP, HP"
Vervet-AGM,Chlorocebus sabaeus,csabaeus,ChlSab1.1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
C.intestinalis,Ciona intestinalis,cintestinalis,KH,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Spiny chromis,Acanthochromis polyacanthus,apolyacanthus,ASM210954v1,"GO:MF, GO:CC, GO:BP, HP"
Crab-eating macaque,Macaca fascicularis,mfascicularis,Macaca_fascicularis_6.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Medium ground-finch,Geospiza fortis,gfortis,GeoFor_1.0,"GO:MF, GO:CC, GO:BP, HP"
Argentine black and white tegu,Salvator merianae,smerianae,HLtupMer3,"GO:MF, GO:CC, GO:BP, HP"
Chimpanzee,Pan troglodytes,ptroglodytes,Pan_tro_3.0,"GO:MF, GO:CC, GO:BP, KEGG, TF, HP, WP"
Kakapo,Strigops habroptila,shabroptila,bStrHab1_v1.p,"GO:MF, GO:CC, GO:BP, HP"
Greater bamboo lemur,Prolemur simus,psimus,Prosim_1.0,"GO:MF, GO:CC, GO:BP, HP"
Cow,Bos taurus,btaurus,ARS-UCD1.2,"GO:MF, GO:CC, GO:BP, KEGG, REAC, MIRNA, CORUM, HP, WP"
Saccharomyces cerevisiae,Saccharomyces cerevisiae,scerevisiae,R64-1-1,"GO:MF, GO:CC, GO:BP, KEGG, TF, HP, WP"
Pike-perch,Sander lucioperca,slucioperca,SLUC_FBN_1,"GO:MF, GO:CC, GO:BP, HP"
Clown anemonefish,Amphiprion ocellaris,aocellaris,AmpOce1.0,"GO:MF, GO:CC, GO:BP, HP"
Sheep (texel),Ovis aries,oaries,Oar_v3.1,"GO:MF, GO:CC, GO:BP, KEGG, MIRNA"
European seabass,Dicentrarchus labrax,dlabrax,seabass_V1.0,"GO:MF, GO:CC, GO:BP, HP"
Golden Hamster,Mesocricetus auratus,mauratus,MesAur1.0,"GO:MF, GO:CC, GO:BP, HP"
Northern American deer mouse,Peromyscus maniculatus bairdii,pmbairdii,HU_Pman_2.1,"GO:MF, GO:CC, GO:BP, HP"
Domestic yak,Bos grunniens,bgrunniens,LU_Bosgru_v3.0,"GO:MF, GO:CC, GO:BP, HP"
Blue-ringed sea krait,Laticauda laticaudata,llaticaudata,latLat_1.0,"GO:MF, GO:CC, GO:BP, HP"
Golden snub-nosed monkey,Rhinopithecus roxellana,rroxellana,Rrox_v1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Mummichog,Fundulus heteroclitus,fheteroclitus,Fundulus_heteroclitus-3.0.2,"GO:MF, GO:CC, GO:BP, HP"
Fugu,Takifugu rubripes,trubripes,fTakRub1.2,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Channel bull blenny,Cottoperca gobio,cgobio,fCotGob3.1,"GO:MF, GO:CC, GO:BP, HP"
Mangrove rivulus,Kryptolebias marmoratus,kmarmoratus,ASM164957v1,"GO:MF, GO:CC, GO:BP, HP"
Spotted gar,Lepisosteus oculatus,loculatus,LepOcu1,"GO:MF, GO:CC, GO:BP, HP"
Common carp,Cyprinus carpio,ccarpio,common_carp_genome,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Cat,Felis catus,fcatus,Felis_catus_9.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Tetraodon,Tetraodon nigroviridis,tnigroviridis,TETRAODON 8.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Polar bear,Ursus maritimus,umaritimus,UrsMar_1.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Platyfish,Xiphophorus maculatus,xmaculatus,X_maculatus-5.0-male,"GO:MF, GO:CC, GO:BP, HP"
Pig-tailed macaque,Macaca nemestrina,mnemestrina,Mnem_1.0,"GO:MF, GO:CC, GO:BP, HP"
Bushbaby,Otolemur garnettii,ogarnettii,OtoGar3,"GO:MF, GO:CC, GO:BP, HP"
Turkey,Meleagris gallopavo,mgallopavo,Turkey_5.1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Amazon molly,Poecilia formosa,pformosa,Poecilia_formosa-5.1.2,"GO:MF, GO:CC, GO:BP, HP"
Rat,Rattus norvegicus,rnorvegicus,Rnor_6.0,"GO:MF, GO:CC, GO:BP, KEGG, REAC, TF, MIRNA, CORUM, HP, WP"
Electric eel,Electrophorus electricus,eelectricus,Ee_SOAP_WITH_SSPACE,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Pinecone soldierfish,Myripristis murdjan,mmurdjan,fMyrMur1.1,"GO:MF, GO:CC, GO:BP, HP"
Guppy,Poecilia reticulata,preticulata,Guppy_female_1.0_MT,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Microbat,Myotis lucifugus,mlucifugus,Myoluc2.0,"GO:MF, GO:CC, GO:BP, HP"
Platypus,Ornithorhynchus anatinus,oanatinus,mOrnAna1.p.v1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Megabat,Pteropus vampyrus,pvampyrus,pteVam1,"GO:MF, GO:CC, GO:BP, HP"
Algerian mouse,Mus spretus,mspretus,SPRET_EiJ_v1,"GO:MF, GO:CC, GO:BP, HP"
Long-tailed chinchilla,Chinchilla lanigera,clanigera,ChiLan1.0,"GO:MF, GO:CC, GO:BP, HP"
Elephant,Loxodonta africana,lafricana,Loxafr3.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Makobe Island cichlid,Pundamilia nyererei,pnyererei,PunNye1.0,"GO:MF, GO:CC, GO:BP, HP"
Coho salmon,Oncorhynchus kisutch,okisutch,Okis_V2,"GO:MF, GO:CC, GO:BP, HP"
Bicolor damselfish,Stegastes partitus,spartitus,Stegastes_partitus-1.0.2,"GO:MF, GO:CC, GO:BP, HP"
Horse,Equus caballus,ecaballus,EquCab3.0,"GO:MF, GO:CC, GO:BP, KEGG, HP, WP"
Olive baboon,Papio anubis,panubis,Panu_3.0,"GO:MF, GO:CC, GO:BP, HP"
Drill,Mandrillus leucophaeus,mleucophaeus,Mleu.le_1.0,"GO:MF, GO:CC, GO:BP, HP"
Japanese quail,Coturnix japonica,cjaponica,Coturnix_japonica_2.0,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Degu,Octodon degus,odegus,OctDeg1.0,"GO:MF, GO:CC, GO:BP, HP"
Drosophila melanogaster,Drosophila melanogaster,dmelanogaster,BDGP6.32,"GO:MF, GO:CC, GO:BP, KEGG, TF, MIRNA, HP, WP"
Atlantic cod,Gadus morhua,gmorhua,gadMor3.0,"GO:MF, GO:CC, GO:BP, HP"
Koala,Phascolarctos cinereus,pcinereus,phaCin_unsw_v4.1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Red-bellied piranha,Pygocentrus nattereri,pnattereri,Pygocentrus_nattereri-1.0.2,"GO:MF, GO:CC, GO:BP, HP"
Abingdon island giant tortoise,Chelonoidis abingdonii,cabingdonii,ASM359739v1,"GO:MF, GO:CC, GO:BP, HP"
Steppe mouse,Mus spicilegus,mspicilegus,MUSP714,"GO:MF, GO:CC, GO:BP, HP"
Nile tilapia,Oreochromis niloticus,oniloticus,O_niloticus_UMD_NMBU,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Stickleback,Gasterosteus aculeatus,gaculeatus,BROAD S1,"GO:MF, GO:CC, GO:BP, HP"
Tasmanian devil,Sarcophilus harrisii,sharrisii,mSarHar1.11,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Zig-zag eel,Mastacembelus armatus,marmatus,fMasArm1.2,"GO:MF, GO:CC, GO:BP, HP"
Armadillo,Dasypus novemcinctus,dnovemcinctus,Dasnov3.0,"GO:MF, GO:CC, GO:BP, HP"
Ferret,Mustela putorius furo,mpfuro,MusPutFur1.0,"GO:MF, GO:CC, GO:BP, HP"
Denticle herring,Denticeps clupeoides,dclupeoides,fDenClu1.1,"GO:MF, GO:CC, GO:BP, HP"
Lion,Panthera leo,pleo,PanLeo1.0,"GO:MF, GO:CC, GO:BP, HP"
Mainland tiger snake,Notechis scutatus,nscutatus,TS10Xv2-PRI,"GO:MF, GO:CC, GO:BP, HP"
Opossum,Monodelphis domestica,mdomestica,ASM229v1,"GO:MF, GO:CC, GO:BP, KEGG, HP"
Mouse,Mus musculus,mmusculus,GRCm39,"GO:MF, GO:CC, GO:BP, KEGG, REAC, TF, MIRNA, CORUM, HP, WP"
Yarrowia lipolytica,Yarrowia lipolytica CLIB122,ylipolytica,ASM252v1,"GO:MF, GO:CC, GO:BP, KEGG"
Colletotrichum orbiculare,Colletotrichum orbiculare MAFF 240422,corbiculare,Corbiculare240422v01,"GO:MF, GO:CC, GO:BP"
Beauveria bassiana,Beauveria bassiana,bbassiana,ASM168263v1,"GO:MF, GO:CC, GO:BP"
Aspergillus fumigatus A1163,Aspergillus fumigatus A1163,afumigatusa1163,ASM15014v1,"GO:MF, GO:CC, GO:BP"
Aspergillus niger,Aspergillus niger,aniger,ASM285v2,"GO:MF, GO:CC, GO:BP"
Dothistroma septosporum,Dothistroma septosporum NZE10,dseptosporum,Dothistroma septosporum NZE10 v1.0,"GO:MF, GO:CC, GO:BP"
Aspergillus nidulans,Aspergillus nidulans FGSC A4,anidulans,ASM1142v1,"GO:MF, GO:CC, GO:BP, KEGG"
Schizosaccharomyces japonicus,Schizosaccharomyces japonicus yFS275,sjaponicus,SJ5,"GO:MF, GO:CC, GO:BP"
